[0914/173232:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0914/174120:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0914/174318:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/021959:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/080614:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/090217:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/090239:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/090247:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/090555:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/090759:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/091031:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/140819:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/140921:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/141101:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/141326:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/144913:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0916/145023:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/005905:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/010944:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/011552:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/013105:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/015143:ERROR:file_io.cc(30)] read: expected 36, observed 0
[0917/020518:ERROR:file_io.cc(30)] read: expected 36, observed 0
